INFO:OpenGL.acceleratesupport:No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
INFO:qasync:Using Qt Implementation: PyQt6
DEBUG:matplotlib:matplotlib data path: /opt/homebrew/lib/python3.11/site-packages/matplotlib/mpl-data
DEBUG:matplotlib:CONFIGDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib:interactive is False
DEBUG:matplotlib:platform is darwin
DEBUG:matplotlib:CACHEDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib.font_manager:Using fontManager instance from /Users/isabelburgos/.matplotlib/fontlist-v330.json
DEBUG:asyncio:Using selector: _Selector
INFO:new_socket_test:recieved data 453, length 16384
INFO:new_socket_test:recieved data 454, length 16384
INFO:new_socket_test:recieved data 455, length 16384
INFO:new_socket_test:recieved data 456, length 16384
INFO:new_socket_test:recieved data 457, length 16384
INFO:new_socket_test:recieved data 458, length 16384
INFO:new_socket_test:recieved data 459, length 16384
INFO:new_socket_test:recieved data 460, length 16384
INFO:new_socket_test:recieved data 461, length 16384
INFO:new_socket_test:recieved data 462, length 16384
INFO:new_socket_test:recieved data 463, length 16384
INFO:new_socket_test:recieved data 464, length 16384
INFO:new_socket_test:recieved data 465, length 16384
INFO:new_socket_test:recieved data 466, length 16384
INFO:new_socket_test:recieved data 467, length 16384
INFO:new_socket_test:recieved data 468, length 16384
INFO:new_socket_test:recieved data 469, length 16384
INFO:new_socket_test:recieved data 470, length 16384
INFO:new_socket_test:recieved data 471, length 16384
INFO:new_socket_test:recieved data 472, length 16384
INFO:new_socket_test:recieved data 473, length 16384
INFO:new_socket_test:recieved data 474, length 16384
INFO:new_socket_test:recieved data 475, length 16384
INFO:new_socket_test:recieved data 476, length 16384
INFO:new_socket_test:recieved data 477, length 16384
INFO:new_socket_test:recieved data 478, length 16384
INFO:new_socket_test:recieved data 479, length 16384
INFO:new_socket_test:recieved data 480, length 16384
INFO:new_socket_test:recieved data 481, length 16384
INFO:new_socket_test:recieved data 482, length 16384
INFO:new_socket_test:recieved data 483, length 16384
INFO:new_socket_test:recieved data 484, length 16384
INFO:new_socket_test:recieved data 485, length 16384
INFO:new_socket_test:recieved data 486, length 16384
INFO:new_socket_test:recieved data 487, length 16384
INFO:new_socket_test:recieved data 488, length 16384
INFO:new_socket_test:recieved data 489, length 16384
INFO:new_socket_test:recieved data 490, length 16384
INFO:new_socket_test:recieved data 491, length 16384
INFO:new_socket_test:recieved data 492, length 16384
INFO:new_socket_test:recieved data 493, length 16384
INFO:new_socket_test:recieved data 494, length 16384
INFO:new_socket_test:recieved data 495, length 16384
INFO:new_socket_test:recieved data 496, length 16384
INFO:new_socket_test:recieved data 497, length 16384
INFO:new_socket_test:recieved data 498, length 16384
INFO:new_socket_test:recieved data 499, length 16384
INFO:new_socket_test:recieved data 500, length 16384
INFO:new_socket_test:recieved data 501, length 16384
INFO:new_socket_test:recieved data 502, length 16384
INFO:new_socket_test:recieved data 503, length 16384
INFO:new_socket_test:recieved data 504, length 16384
INFO:new_socket_test:recieved data 505, length 16384
INFO:new_socket_test:recieved data 506, length 16384
INFO:new_socket_test:recieved data 507, length 16384
INFO:new_socket_test:recieved data 508, length 16384
INFO:new_socket_test:recieved data 509, length 16384
INFO:new_socket_test:recieved data 510, length 16384
INFO:new_socket_test:recieved data 511, length 16384
INFO:new_socket_test:recieved data 512, length 16384
INFO:new_socket_test:recieved data 513, length 16384
INFO:new_socket_test:recieved data 514, length 16384
INFO:new_socket_test:recieved data 515, length 16384
INFO:new_socket_test:recieved data 516, length 16384
INFO:new_socket_test:recieved data 517, length 16384
INFO:new_socket_test:recieved data 518, length 16384
INFO:new_socket_test:recieved data 519, length 16384
INFO:new_socket_test:recieved data 520, length 16384
INFO:new_socket_test:recieved data 521, length 16384
INFO:new_socket_test:recieved data 522, length 16384
INFO:new_socket_test:recieved data 523, length 16384
INFO:new_socket_test:recieved data 524, length 16384
INFO:new_socket_test:recieved data 525, length 16384
